year,commercial_consumption
2019,1122017
2018,1152306
2017,1117264
2016,1117794
2015,1141606
2014,1137388
2013,1133300
2012,1098242
2011,1183095
2010,1213503
2009,1198763
2008,1237588
2007,1223811
2006,1242635
2005,1325120
2004,1424023
2003,1366357
2002,1338256
2001,1314011
2000,1342235
1999,1315510
1998,1229622
1997,1231073
1996,1147636
1995,1118570
1994,1083091
1993,1097396
1992,1084342
1991,1064645
1990,1075543
1989,1058702
1988,1031037
1987,984879
1986,987477
1985,927419
1984,923659
1983,840513
1982,879866
1981,836943
1980,896352
1979,851084
1978,947194
1977,939128
1976,940768
1975,877111
1974,908274
1973,975036
1972,952308
1971,934756
1970,935147
1969,898776
1968,877523
1967,860998
1966,800801
1965,733465
1964,636930
1963,644474
1962,566473
1961,546430
1960,567658
