year,residential_consumption
2019,1138582
2018,1174528
2017,1054577
2016,1053881
2015,1136627
2014,1120651
2013,1068620
2012,1018476
2011,1070428
2010,1090036
2009,1077880
2008,1151130
2007,1181763
2006,1110969
2005,1261240
2004,1229562
2003,1237747
2002,1162205
2001,1171065
2000,1215507
1999,1150290
1998,1063171
1997,1118314
1996,1114362
1995,1062221
1994,1080738
1993,1103069
1992,1093217
1991,1036687
1990,1045663
1989,1122520
1988,1122400
1987,1065286
1986,1033835
1985,1002347
1984,1017842
1983,985052
1982,986003
1981,1004835
1980,1014133
1979,989112
1978,1113480
1977,1099747
1976,1112888
1975,1048182
1974,1070694
1973,1117397
1972,1123282
1971,1087285
1970,1073574
1969,1026947
1968,991398
1967,949794
1966,935058
1965,898307
1964,843857
1963,835972
1962,822108
1961,775541
1960,727917
