year,total_consumption
2019,3855941
2018,3965002
2017,3797280
2016,3790288
2015,3860779
2014,3863760
2013,3741854
2012,3603676
2011,3777159
2010,3894831
2009,3698703
2008,3874874
2007,3958020
2006,3873247
2005,4153199
2004,4261834
2003,4163545
2002,4031388
2001,4021811
2000,4138666
1999,4061178
1998,3939103
1997,4013224
1996,3940340
1995,3791092
1994,3752701
1993,3813731
1992,3788665
1991,3703136
1990,3768938
1989,3771097
1988,3748830
1987,3658508
1986,3554662
1985,3508528
1984,3403950
1983,3353921
1982,3529658
1981,3673745
1980,3863274
1979,3972800
1978,4195842
1977,4195220
1976,4224994
1975,3925249
1974,4128073
1973,4419080
1972,4269847
1971,4251263
1970,4303439
1969,4200652
1968,4052442
1967,3955831
1966,3867170
1965,3664673
1964,3382126
1963,3305923
1962,3238540
1961,3093838
1960,2989032
